order_id,region,product_family,customer,sku,order_date,promise_date,delivery_date,projected_delivery_date,ordered_qty,delivered_qty,damage_free,documentation_accurate,revenue,status
SO-10001,North America,Consumer,Atlas Retail,SKU-10922,2026-03-04,2026-03-12,2026-03-11,,240,240,true,true,68400,Delivered
SO-10002,Europe,Industrial,Helios Works,SKU-31804,2026-03-18,2026-03-29,2026-04-02,,120,120,true,true,91200,Delivered
SO-10003,Asia Pacific,Healthcare,Nova Medical,SKU-07211,2026-04-02,2026-04-10,2026-04-10,,180,176,true,true,118800,Delivered
SO-10004,Latin America,Consumer,Sol Market,SKU-44107,2026-04-21,2026-04-30,2026-05-03,,320,320,true,false,73600,Delivered
SO-10005,North America,Industrial,Orion Systems,SKU-31804,2026-05-08,2026-05-17,2026-05-16,,90,90,true,true,71100,Delivered
SO-10006,Europe,Healthcare,Vita Labs,SKU-07211,2026-05-19,2026-05-28,2026-05-27,,140,140,true,true,99400,Delivered
SO-10007,Asia Pacific,Consumer,Eastbay Digital,SKU-10922,2026-06-01,2026-06-10,2026-06-13,,260,260,true,true,75400,Delivered
SO-10008,Latin America,Industrial,Andes Automation,SKU-31804,2026-06-15,2026-06-25,2026-06-25,,110,110,true,true,85800,Delivered
SO-10009,North America,Healthcare,MedCore,SKU-44107,2026-07-03,2026-07-12,2026-07-11,,200,200,true,true,126000,Delivered
SO-10010,Europe,Consumer,Urban Home,SKU-10922,2026-07-15,2026-07-24,2026-07-24,,280,280,true,true,81200,Delivered
SO-10011,Asia Pacific,Industrial,Pacific Motion,SKU-31804,2026-07-28,2026-08-07,,2026-08-11,150,0,true,true,119250,At risk
SO-10012,Latin America,Healthcare,Clinica Uno,SKU-07211,2026-08-01,2026-08-10,2026-08-09,,130,130,true,true,92300,Delivered
SO-10013,North America,Consumer,Atlas Retail,SKU-44107,2026-08-04,2026-08-13,2026-08-12,,310,310,true,true,71300,Delivered
SO-10014,Europe,Industrial,Helios Works,SKU-31804,2026-08-06,2026-08-16,,2026-08-15,100,0,true,true,79000,Open
SO-10015,Asia Pacific,Healthcare,Nova Medical,SKU-07211,2026-08-08,2026-08-17,,2026-08-21,190,0,true,true,127300,At risk
SO-10016,North America,Industrial,Orion Systems,SKU-31804,2026-08-10,2026-08-19,2026-08-18,,80,80,false,true,63200,Delivered
